"State","District","Kharif","Rabi"
"Andhra Pradesh","ANANTAPUR","1","1"
"Andhra Pradesh","EAST GODAVARI","1","1"
"Andhra Pradesh","WEST GODAVARI","0","1"
"Andhra Pradesh","CHITTOOR","1","0"
"Andhra Pradesh","GUNTUR","1","1"
"Andhra Pradesh","KADAPA","1","1"
"Andhra Pradesh","KRISHNA","0","1"
"Andhra Pradesh","KURNOOL","1","1"
"Andhra Pradesh","PRAKASAM","1","1"
"Andhra Pradesh","SPSR NELLORE","1","1"
"Andhra Pradesh","SRIKAKULAM","1","0"
"Andhra Pradesh","VISAKHAPATANAM","1","0"
"Andhra Pradesh","VIZIANAGARAM","1","0"
"Bihar","BEGUSARAI","1","0"
"Bihar","BHAGALPUR","1","0"
"Bihar","BHOJPUR","1","0"
"Bihar","BUXAR","1","0"
"Bihar","PATNA","1","0"
"Gujarat","AMRELI","1","0"
"Gujarat","ANAND","1","0"
"Gujarat","ARAVALLI","1","1"
"Gujarat","BANAS KANTHA","1","0"
"Gujarat","BHARUCH","1","1"
"Gujarat","BHAVNAGAR","0","1"
"Gujarat","CHHOTAUDEPUR","1","1"
"Gujarat","DOHAD","0","1"
"Gujarat","GIR SOMNATH","1","1"
"Gujarat","JAMNAGAR","1","0"
"Gujarat","JUNAGADH","0","1"
"Gujarat","KACHCHH","1","0"
"Gujarat","MAHISAGAR","1","0"
"Gujarat","MORBI","1","1"
"Gujarat","NARMADA","1","1"
"Gujarat","NAVSARI","1","1"
"Gujarat","PANCH MAHALS","1","1"
"Gujarat","PATAN","1","0"
"Gujarat","PORBANDAR","1","1"
"Gujarat","RAJKOT","1","1"
"Gujarat","SABAR KANTHA","1","0"
"Gujarat","SURAT","1","1"
"Gujarat","TAPI","1","1"
"Gujarat","VADODARA","0","1"
"Gujarat","VALSAD","1","1"
"Karnataka","BAGALKOT","1","1"
"Karnataka","BANGALORE RURAL","1","1"
"Karnataka","BELGAUM","1","1"
"Karnataka","BELLARY","1","1"
"Karnataka","BENGALURU URBAN","1","1"
"Karnataka","BIDAR","1","1"
"Karnataka","BIJAPUR","1","1"
"Karnataka","CHAMARAJANAGAR","1","1"
"Karnataka","CHIKBALLAPUR","1","1"
"Karnataka","CHIKMAGALUR","1","1"
"Karnataka","CHITRADURGA","1","1"
"Karnataka","DAKSHIN KANNAD","1","1"
"Karnataka","DAVANGERE","1","1"
"Karnataka","DHARWAD","1","1"
"Karnataka","GADAG","1","1"
"Karnataka","GULBARGA","1","1"
"Karnataka","HASSAN","1","1"
"Karnataka","HAVERI","1","1"
"Karnataka","KODAGU","1","1"
"Karnataka","KOLAR","1","1"
"Karnataka","KOPPAL","1","1"
"Karnataka","MANDYA","1","1"
"Karnataka","MYSORE","1","1"
"Karnataka","RAICHUR","1","1"
"Karnataka","RAMANAGARA","1","1"
